Age,Gender,Sleep Duration,Quality of Sleep,Physical Activity Level,Work Hours,Screen Time,Stress Level
23,Female,5.7,Good,Low,9.47,10.0,High
59,Female,8.12,Good,Low,7.32,5.92,Low
21,Male,7.91,Good,Low,7.3,6.22,Low
46,Female,8.63,Good,Moderate,6.9,6.88,Low
35,Female,6.71,Poor,Low,8.27,10.0,High
43,Male,5.55,Good,Moderate,11.99,9.95,High
51,Female,8.99,Good,Moderate,6.7,5.34,Low
27,Female,6.1,Good,Low,9.14,5.37,Medium
53,Female,5.52,Good,Moderate,8.59,6.87,Medium
31,Female,6.27,Average,High,8.32,6.52,Low
48,Male,5.32,Average,Moderate,11.49,8.26,High
32,Female,7.13,Good,High,4.89,5.53,Low
25,Female,5.77,Average,Low,9.3,8.12,High
31,Female,6.16,Average,Moderate,8.81,10.0,High
40,Male,7.66,Good,Moderate,7.94,7.88,Medium
57,Female,7.25,Good,Low,8.07,9.16,Medium
38,Female,6.52,Good,High,10.3,8.95,Medium
33,Male,6.71,Good,Moderate,8.41,6.57,Medium
35,Male,6.51,Average,Low,8.41,8.82,High
41,Male,5.98,Good,High,10.16,7.42,Medium
43,Male,6.5,Average,Low,10.34,10.0,High
42,Female,7.09,Good,High,8.73,6.99,Low
58,Male,6.35,Average,Moderate,9.86,10.0,High
46,Male,7.0,Good,Moderate,7.74,7.98,Low
32,Male,5.5,Poor,Moderate,9.65,7.3,High
18,Female,5.78,Good,Low,11.0,10.0,High
42,Male,5.62,Good,High,10.01,10.0,High
24,Female,5.82,Average,Moderate,8.89,7.1,High
26,Female,8.04,Good,Moderate,7.0,5.92,Low
41,Male,7.37,Good,High,8.87,8.31,Low
18,Female,5.21,Poor,Low,11.14,10.0,High
25,Male,7.02,Good,High,6.97,8.72,Low
41,Male,6.03,Poor,Moderate,9.41,8.05,Medium
28,Female,5.68,Good,Low,9.31,8.72,Medium
34,Female,4.72,Poor,Moderate,10.2,8.61,High
25,Female,7.67,Average,High,8.93,7.63,Low
52,Female,4.86,Poor,High,9.85,8.1,High
52,Male,6.44,Average,Moderate,7.87,5.46,Medium
50,Female,5.36,Average,Moderate,8.66,9.36,High
22,Female,7.43,Good,Moderate,7.36,7.3,Low
59,Female,6.1,Poor,Low,8.02,9.9,High
56,Female,6.34,Good,Low,7.62,8.57,High
58,Male,6.38,Average,Moderate,7.55,6.68,Medium
45,Male,6.86,Good,Moderate,7.14,5.29,Medium
24,Female,6.52,Good,Low,7.57,10.0,Medium
26,Female,6.45,Average,Low,9.03,5.77,Medium
25,Male,5.88,Poor,Moderate,6.77,6.23,Medium
29,Male,4.61,Average,Low,9.55,8.2,High
51,Male,5.16,Average,Moderate,9.72,7.83,High
50,Male,7.36,Good,Low,9.02,7.04,Low
40,Female,6.13,Good,High,8.57,6.17,Medium
41,Female,5.7,Average,High,9.12,7.3,High
54,Male,4.81,Poor,Low,10.08,8.98,High
52,Male,4.44,Average,High,8.37,8.32,High
57,Female,5.66,Average,Low,10.13,8.3,High
39,Female,7.57,Good,Low,8.17,6.92,Low
44,Male,5.83,Average,High,10.15,7.54,High
52,Female,6.98,Good,Moderate,11.03,9.97,High
18,Male,5.78,Average,Moderate,7.66,7.43,Medium
52,Female,7.27,Average,Low,5.94,6.73,Medium
54,Female,6.08,Average,Moderate,9.77,8.03,Medium
31,Male,5.02,Good,Moderate,9.58,7.34,Medium
20,Female,6.18,Average,High,7.64,7.32,Medium
18,Male,8.7,Good,Low,5.96,6.95,Low
22,Female,8.65,Good,Low,5.61,4.6,Low
43,Male,7.08,Average,High,9.99,8.05,Medium
31,Male,6.34,Good,Moderate,11.37,8.12,High
56,Male,6.86,Good,Low,6.18,4.57,Low
44,Female,6.88,Good,Moderate,6.35,5.62,Low
26,Male,6.45,Good,Low,7.64,6.09,Medium
32,Male,7.03,Good,Moderate,7.14,8.2,Medium
32,Female,6.75,Average,High,7.32,7.17,Low
43,Female,6.12,Good,Moderate,8.65,9.95,Medium
59,Male,5.07,Poor,Moderate,9.39,10.0,High
30,Male,5.95,Average,Moderate,7.43,7.22,Medium
49,Female,7.46,Good,High,6.31,3.41,Low
56,Female,6.46,Good,Low,10.4,9.88,High
49,Female,6.86,Average,Moderate,7.71,9.11,Low
21,Male,6.16,Average,Low,8.35,8.79,Medium
47,Female,5.23,Good,High,7.95,8.09,Low
54,Male,6.21,Average,Moderate,8.23,7.39,Medium
40,Male,5.27,Average,Low,10.88,7.85,High
56,Male,5.2,Average,High,10.51,10.0,Medium
32,Female,7.95,Good,Moderate,8.02,7.32,Low
46,Female,6.0,Average,High,7.56,7.76,Medium
53,Female,5.61,Average,Low,7.93,6.67,High
30,Male,8.44,Good,High,7.92,10.0,Medium
49,Male,7.48,Good,Moderate,8.51,8.32,Medium
24,Female,6.05,Average,High,8.64,7.48,Medium
39,Female,7.01,Good,Low,9.01,6.6,Low
45,Male,6.22,Good,Moderate,7.34,5.04,Low
19,Male,5.67,Good,Low,7.84,8.42,Medium
59,Male,7.07,Average,Low,5.99,5.32,Low
23,Male,6.11,Average,Low,9.32,7.85,High
45,Female,6.59,Average,Moderate,8.67,7.25,Medium
45,Male,7.73,Good,High,6.64,5.01,Low
37,Male,7.59,Good,Low,6.47,6.09,Low
47,Female,5.84,Good,Low,12.0,10.0,High
28,Female,7.08,Good,Moderate,7.61,5.82,Low
45,Female,5.15,Poor,Moderate,11.52,10.0,High
42,Female,7.04,Good,Low,7.78,5.61,Low
56,Male,6.68,Average,Low,7.72,6.74,Medium
50,Male,6.95,Good,Moderate,9.75,9.37,Medium
18,Male,6.14,Average,Low,9.81,8.85,High
44,Male,9.0,Good,Moderate,5.97,3.72,Low
30,Male,5.42,Average,Moderate,10.94,5.48,Medium
58,Female,7.67,Good,Low,10.35,10.0,Medium
20,Female,5.26,Good,Moderate,8.86,9.24,High
56,Male,7.11,Good,Moderate,8.46,8.58,Low
23,Female,7.19,Good,Low,7.32,6.78,Medium
25,Male,6.57,Good,Moderate,7.31,6.74,Low
44,Male,5.91,Average,Moderate,7.94,7.4,Medium
26,Male,6.67,Average,Low,10.24,10.0,High
54,Male,6.82,Average,High,5.99,5.99,Low
50,Male,8.65,Good,Moderate,6.96,7.43,Low
59,Female,5.45,Average,High,8.56,9.96,Medium
41,Female,5.83,Poor,Low,11.3,8.46,High
32,Male,6.84,Good,High,7.83,7.2,Medium
49,Male,6.19,Poor,Moderate,8.37,6.57,Medium
49,Female,6.38,Average,High,10.5,8.76,Medium
41,Male,7.78,Good,Moderate,8.27,7.64,Low
58,Male,4.0,Average,Moderate,11.67,8.85,High
29,Male,5.78,Average,Moderate,10.19,6.7,Medium
56,Female,4.41,Poor,Low,9.29,6.54,High
19,Male,5.07,Average,Moderate,10.82,10.0,High
20,Male,9.0,Good,Moderate,5.76,5.03,Low
54,Female,7.22,Poor,Moderate,8.21,7.42,Medium
34,Male,7.64,Good,Low,7.94,7.63,Medium
19,Male,6.4,Average,Moderate,7.27,8.45,Medium
19,Female,7.41,Average,High,8.3,7.38,Medium
45,Female,4.38,Poor,Low,10.4,9.65,High
40,Male,7.75,Average,Moderate,5.76,4.33,Low
54,Female,5.52,Good,Moderate,9.3,8.27,High
49,Male,5.86,Poor,Moderate,9.16,6.95,High
50,Male,7.11,Average,High,8.6,7.81,Medium
18,Female,6.88,Average,High,5.25,5.87,Low
36,Male,6.6,Average,Moderate,8.87,7.86,Medium
19,Female,4.86,Average,Moderate,9.53,8.04,Medium
43,Female,6.62,Good,Moderate,9.35,8.95,Medium
49,Female,7.65,Good,Low,7.35,6.54,Medium
23,Male,5.86,Average,Moderate,8.74,7.5,High
49,Female,8.08,Good,Low,6.71,5.12,Low
21,Male,5.45,Poor,High,9.95,9.72,High
28,Female,6.51,Average,Moderate,9.58,8.64,Medium
34,Female,8.34,Good,High,5.59,5.19,Low
55,Male,5.68,Good,Low,8.91,6.68,Medium
41,Male,7.76,Good,Moderate,9.0,10.0,Low
22,Female,8.87,Good,Low,5.7,2.0,Low
51,Male,6.71,Average,Moderate,8.73,6.97,Medium
23,Male,5.87,Average,Moderate,7.65,6.63,Low
39,Female,5.57,Poor,Low,7.37,8.54,High
28,Female,8.07,Good,Low,5.68,5.5,Low
33,Male,8.03,Good,Moderate,6.14,6.57,Low
50,Female,8.24,Average,Low,8.01,6.95,Medium
26,Female,6.46,Good,Moderate,9.92,10.0,Medium
23,Female,7.75,Good,Low,4.94,6.05,Low
33,Male,6.44,Average,High,7.91,6.56,Medium
46,Male,5.44,Poor,Low,10.4,10.0,High
20,Male,7.85,Good,Low,7.02,6.54,Low
37,Female,8.46,Good,Moderate,8.35,10.0,Low
53,Male,5.28,Average,Moderate,10.53,10.0,High
36,Female,5.25,Average,Moderate,9.43,9.04,Medium
43,Female,6.55,Good,Moderate,8.24,7.41,Medium
20,Female,7.65,Good,Low,7.28,6.14,Medium
36,Female,5.14,Average,Low,8.84,9.51,High
37,Male,6.77,Average,Moderate,9.36,10.0,High
49,Female,5.79,Poor,High,10.1,8.63,High
24,Female,7.34,Average,Low,8.21,8.42,High
58,Male,5.54,Average,Low,9.75,9.58,High
50,Female,7.43,Average,Low,6.35,7.78,Medium
57,Male,6.31,Good,Moderate,9.3,7.34,Medium
56,Male,5.38,Poor,Moderate,9.77,9.5,High
35,Male,6.58,Poor,Moderate,10.82,10.0,High
57,Female,4.17,Average,Moderate,9.28,8.64,Medium
18,Male,5.83,Good,High,8.3,8.49,Low
28,Female,6.9,Good,Moderate,6.2,6.91,Low
45,Male,4.37,Average,Low,10.37,10.0,High
42,Male,4.0,Poor,Moderate,8.91,6.5,High
40,Male,4.0,Average,Low,12.0,10.0,High
48,Male,8.09,Good,High,8.22,7.9,Low
47,Female,6.41,Good,Low,8.4,8.7,High
59,Female,5.86,Good,Low,7.92,7.68,Low
52,Male,7.63,Good,Moderate,5.54,7.29,Low
24,Male,6.01,Average,Moderate,8.15,6.95,Medium
33,Male,6.82,Good,Moderate,8.93,6.29,Medium
43,Female,6.53,Average,High,7.53,7.09,Medium
19,Male,5.93,Average,High,11.36,10.0,High
18,Male,6.85,Good,Moderate,9.94,8.44,Medium
29,Female,7.43,Good,High,7.57,6.29,Low
22,Male,6.28,Good,High,8.17,8.24,Low
54,Male,5.95,Average,Low,8.37,6.47,Medium
49,Male,6.09,Good,Low,10.83,10.0,High
26,Male,4.0,Poor,Moderate,10.21,8.68,High
58,Female,6.84,Good,Low,9.28,9.24,High
52,Female,5.05,Average,Low,9.98,7.24,Medium
36,Female,7.26,Average,High,8.6,10.0,Medium
33,Male,6.39,Average,Low,7.63,8.04,High
20,Male,6.63,Average,Moderate,7.97,8.5,Low
37,Female,7.34,Good,Moderate,7.63,5.41,Low
41,Male,5.39,Poor,Moderate,8.85,7.07,Medium
50,Male,6.94,Good,High,9.56,8.99,Medium
41,Female,6.82,Average,High,7.26,5.46,Low
28,Female,6.28,Good,High,8.03,6.68,Low
25,Male,5.39,Good,Moderate,11.24,10.0,High
53,Female,7.21,Good,Moderate,9.19,7.52,Low
55,Male,7.34,Average,Moderate,9.57,9.26,High
57,Female,6.64,Average,Moderate,6.07,5.01,Medium
37,Female,5.22,Average,Moderate,10.02,9.92,High
52,Male,5.87,Average,Moderate,9.24,6.79,Low
42,Male,6.43,Good,Moderate,7.9,8.42,Medium
52,Female,7.33,Average,Moderate,8.06,10.0,Medium
42,Male,4.6,Average,High,10.01,8.2,Medium
46,Male,5.82,Average,Moderate,9.37,7.57,Medium
35,Male,6.02,Good,Moderate,12.0,10.0,High
35,Female,6.4,Good,Moderate,8.98,8.38,Medium
19,Male,4.94,Poor,Moderate,10.49,7.59,High
52,Male,6.24,Good,High,9.75,9.33,Medium
33,Female,6.13,Poor,Moderate,9.09,8.69,High
58,Female,5.25,Average,High,8.43,6.95,Low
53,Female,6.36,Average,High,6.66,5.66,Low
50,Female,5.85,Average,Moderate,9.11,9.68,High
21,Male,7.09,Poor,Low,7.59,5.83,Medium
50,Male,5.44,Average,High,7.2,4.98,Medium
31,Female,6.61,Good,Low,10.35,8.08,High
38,Female,5.53,Poor,Low,9.6,10.0,High
37,Male,5.78,Average,Moderate,10.95,9.27,High
25,Male,6.86,Good,Low,5.46,4.98,Low
24,Female,6.78,Good,Low,9.97,8.88,Medium
20,Male,6.0,Poor,High,8.42,8.63,High
34,Male,6.18,Average,Moderate,10.33,10.0,High
50,Female,4.76,Average,Moderate,10.5,9.88,High
29,Female,8.18,Good,High,7.36,10.0,Low
39,Female,7.32,Good,Low,8.23,8.86,Medium
39,Female,7.28,Good,Moderate,7.21,6.6,Low
47,Male,4.59,Poor,High,9.63,10.0,High
55,Female,5.79,Good,Moderate,8.78,9.1,Medium
55,Male,6.1,Average,Low,7.13,8.73,High
25,Male,4.18,Poor,High,10.24,10.0,High
44,Male,7.57,Good,High,6.59,6.78,Low
44,Female,8.24,Good,Low,4.96,4.75,Low
51,Male,8.97,Good,High,6.58,6.81,Low
38,Female,5.24,Average,High,9.77,6.62,Medium
47,Female,6.64,Average,Low,8.66,7.82,High
50,Female,8.09,Good,Low,7.75,5.66,Medium
45,Male,6.2,Average,Low,8.51,8.64,Medium
50,Female,5.82,Average,High,8.05,8.89,Medium
22,Female,4.26,Average,Moderate,11.1,10.0,High
36,Male,7.86,Good,Moderate,4.0,4.56,Low
21,Female,6.48,Average,Low,8.39,7.45,Medium
52,Male,5.62,Average,Low,10.3,10.0,High
34,Male,6.84,Good,Low,9.42,10.0,High
45,Female,6.68,Good,High,7.68,5.78,Low
47,Female,6.7,Good,Low,5.61,6.31,Medium
46,Female,6.24,Poor,Low,5.6,6.41,Medium
23,Female,8.45,Good,Moderate,7.32,6.82,Low
52,Male,6.34,Average,Low,8.24,5.72,Medium
58,Female,8.44,Good,Low,8.98,5.2,Low
54,Female,7.18,Average,Moderate,6.13,6.55,Low
41,Male,6.92,Average,Low,8.49,5.4,Medium
46,Female,6.36,Good,Moderate,10.63,8.66,Low
48,Female,7.67,Good,Moderate,7.58,8.33,Low
52,Female,6.64,Poor,High,6.45,7.14,Medium
50,Female,5.38,Poor,Low,12.0,9.51,High
38,Female,5.34,Average,High,11.56,10.0,High
49,Male,7.01,Poor,Moderate,7.72,8.19,Medium
40,Female,5.41,Average,High,10.57,8.67,High
50,Male,6.43,Average,Moderate,9.57,10.0,High
20,Male,7.77,Good,Moderate,8.0,8.33,Low
35,Male,6.86,Good,Low,6.48,5.37,Medium
42,Male,5.63,Average,Low,9.76,5.75,Medium
59,Female,8.19,Average,Low,8.56,8.33,High
48,Female,7.16,Average,High,8.45,7.16,Medium
20,Male,7.72,Good,Low,7.76,7.46,Low
57,Female,4.0,Poor,Low,10.36,8.9,High
41,Female,6.9,Good,Low,7.02,3.62,Low
49,Male,7.51,Good,High,5.6,5.48,Low
39,Female,8.54,Good,Low,7.37,5.51,Low
40,Male,4.74,Good,Moderate,9.99,8.23,Medium
19,Male,7.95,Good,Low,5.44,4.94,Low
44,Female,8.47,Good,Low,7.7,7.49,Low
59,Female,4.08,Average,High,10.22,9.6,High
19,Female,7.07,Good,Low,6.9,7.52,Low
43,Male,7.24,Good,Low,7.16,3.42,Low
34,Male,6.11,Good,Low,8.66,10.0,High
57,Female,5.91,Average,Moderate,9.64,6.3,Medium
50,Male,7.3,Good,Low,6.65,6.63,Low
26,Female,5.76,Poor,Low,10.45,8.07,High
56,Female,6.24,Average,Low,9.34,8.98,High
46,Female,7.47,Good,Moderate,6.91,4.09,Low
59,Female,8.6,Good,Moderate,6.21,8.67,Low
43,Male,7.15,Average,Moderate,7.34,6.6,Medium
52,Female,6.66,Good,Low,8.42,8.64,Medium
42,Male,5.88,Good,Moderate,10.94,8.46,High
41,Male,5.29,Average,Moderate,9.19,10.0,High
30,Male,7.83,Average,Low,7.4,5.12,Medium
24,Male,6.32,Average,Moderate,7.84,3.54,Medium
53,Male,7.88,Good,Low,7.76,9.48,Low
37,Male,6.1,Average,High,9.23,6.7,High
18,Female,5.72,Average,Moderate,10.88,9.51,High
25,Male,7.0,Good,High,7.0,9.24,Low
33,Female,6.41,Average,Low,9.42,7.99,Medium
31,Male,5.05,Poor,Low,11.47,10.0,High
29,Female,8.68,Good,Low,5.79,7.28,Low
40,Female,5.75,Poor,Moderate,9.1,8.42,High
32,Male,7.61,Good,Low,7.62,9.29,Low
45,Female,7.51,Good,Low,7.21,8.11,Medium
51,Female,4.99,Poor,Moderate,10.22,7.81,High
19,Male,5.3,Good,High,10.51,10.0,High
49,Male,6.14,Good,High,8.72,8.05,Medium
40,Male,5.46,Poor,Moderate,9.39,8.53,High
39,Male,8.57,Good,Low,6.75,7.22,Low
42,Male,6.26,Good,Low,8.26,9.16,Medium
39,Male,7.57,Good,High,7.01,5.46,Low
39,Male,7.12,Good,Moderate,6.8,8.72,Low
59,Male,6.82,Good,Moderate,8.13,9.56,High
23,Female,6.55,Average,Low,8.99,7.34,Medium
32,Male,7.98,Good,Low,6.7,9.33,Low
54,Female,5.51,Poor,High,8.56,7.73,Medium
50,Male,8.57,Good,High,6.31,7.27,Low
25,Male,4.96,Average,High,10.52,8.67,Medium
22,Male,7.44,Good,Moderate,7.71,8.63,Low
56,Male,4.81,Poor,Low,12.0,9.73,High
21,Female,6.12,Good,Low,8.09,7.9,Medium
23,Female,6.61,Poor,Low,8.21,3.82,Low
49,Male,5.92,Average,Low,10.02,8.31,High
47,Female,6.28,Good,Moderate,7.89,6.68,Low
52,Male,4.84,Poor,Moderate,12.0,7.56,High
57,Female,5.32,Average,Moderate,9.69,9.94,High
33,Male,7.1,Good,Low,8.57,7.42,Medium
30,Female,6.54,Good,Low,8.48,5.21,Medium
59,Female,5.67,Good,High,10.55,10.0,Medium
47,Female,8.09,Average,Low,5.63,7.58,Low
36,Male,5.04,Poor,Low,11.85,10.0,High
34,Female,6.07,Average,Low,9.21,6.18,Medium
36,Male,5.89,Poor,High,9.9,6.1,Medium
45,Female,7.24,Good,Low,6.87,4.97,Low
43,Male,6.56,Good,Moderate,8.84,6.94,Low
54,Male,6.37,Good,Moderate,7.47,9.79,Medium
43,Male,4.29,Poor,Low,12.0,10.0,High
40,Female,7.54,Average,Moderate,5.91,4.23,Low
26,Female,6.24,Average,Low,8.95,7.34,Medium
29,Male,6.64,Average,Moderate,7.89,9.13,High
18,Male,5.6,Average,High,7.52,8.1,High
18,Male,5.41,Average,Low,8.47,8.0,Medium
51,Female,8.3,Good,Low,7.24,6.82,Low
49,Female,4.37,Poor,High,9.55,8.69,High
42,Female,5.23,Poor,Moderate,8.97,8.51,Medium
57,Female,8.28,Good,Low,7.17,6.73,Low
18,Female,7.27,Good,High,8.83,8.33,Medium
33,Male,6.11,Average,Moderate,9.68,8.33,High
56,Male,8.0,Good,High,6.94,5.57,Low
22,Male,7.04,Average,Low,8.22,7.36,Medium
39,Male,6.78,Good,Moderate,8.36,8.35,High
46,Female,6.77,Average,Moderate,6.99,5.8,Low
20,Female,7.06,Good,Low,8.28,8.43,Medium
29,Male,7.11,Good,Low,6.64,7.89,Low
43,Female,9.0,Good,Low,6.74,7.23,Medium
33,Male,6.27,Average,Moderate,8.89,7.38,Low
54,Female,6.3,Average,High,6.1,6.41,Medium
39,Female,5.02,Average,Moderate,11.15,10.0,High
46,Male,6.44,Good,Low,7.93,7.85,Medium
31,Male,8.74,Good,Moderate,5.53,8.11,Low
45,Male,7.68,Good,Moderate,8.47,6.19,Low
22,Female,5.85,Good,Moderate,8.95,8.58,High
47,Female,6.54,Good,Moderate,9.18,7.83,Medium
22,Female,4.94,Average,Moderate,9.28,6.63,Medium
29,Male,5.34,Good,Moderate,10.62,7.55,Medium
33,Male,6.68,Good,Moderate,8.56,9.31,Low
43,Male,5.91,Good,Moderate,9.58,6.6,Low
43,Female,5.25,Average,High,9.54,9.13,High
38,Female,7.09,Good,Low,9.87,9.11,Medium
56,Male,6.4,Good,Low,10.84,8.3,Medium
53,Male,4.62,Average,Low,7.74,8.67,High
50,Male,4.01,Poor,Low,12.0,8.63,High
47,Female,5.82,Poor,High,7.88,6.69,High
54,Female,4.59,Average,Moderate,11.02,8.08,High
40,Male,4.26,Average,Low,8.61,9.17,High
27,Male,7.85,Good,Moderate,7.63,9.12,Low
22,Male,6.38,Average,Moderate,7.62,7.71,Low
53,Female,6.18,Average,Low,8.27,10.0,High
51,Female,6.27,Average,Low,8.21,8.42,Medium
48,Female,5.13,Average,High,8.99,9.24,Medium
27,Male,6.99,Good,High,7.16,8.52,Low
36,Male,6.34,Average,Low,8.18,6.72,High
49,Male,5.59,Good,Moderate,9.23,9.07,Medium
18,Male,5.77,Good,Low,9.62,7.28,High
22,Male,5.03,Average,High,12.0,8.42,High
21,Male,6.01,Good,Low,7.85,9.13,Medium
33,Male,6.21,Average,Moderate,8.94,6.98,Medium
41,Male,5.98,Good,Low,9.95,9.24,High
33,Male,6.57,Average,High,7.58,9.75,Low
19,Male,6.41,Average,Low,5.88,3.4,Medium
45,Male,6.78,Good,High,5.93,7.13,Low
49,Female,7.63,Average,Low,4.71,5.26,Medium
44,Male,7.21,Poor,High,9.64,8.64,Medium
37,Male,7.65,Average,Low,8.09,7.75,High
41,Female,5.48,Good,High,10.43,9.33,Medium
29,Male,5.89,Average,Low,10.29,9.99,High
52,Female,7.28,Good,Moderate,7.03,5.34,Low
50,Female,7.31,Average,Moderate,10.45,10.0,High
50,Male,5.69,Average,High,9.71,7.11,High
54,Male,7.23,Good,Low,7.68,10.0,Medium
29,Female,5.37,Poor,High,10.96,9.51,High
20,Male,7.08,Good,Low,8.72,8.37,Medium
18,Male,6.47,Average,Moderate,10.13,10.0,High
50,Male,4.84,Poor,Moderate,11.83,9.12,High
57,Female,5.98,Good,High,8.6,8.0,Low
27,Female,9.0,Good,High,6.22,4.24,Low
46,Male,6.74,Average,Low,7.17,5.56,Low
30,Male,9.0,Good,Moderate,4.05,2.7,Low
29,Female,4.77,Poor,Low,11.23,10.0,High
48,Female,7.4,Good,Moderate,8.75,8.98,Medium
19,Male,4.0,Poor,Low,8.62,7.38,High
52,Male,6.5,Good,High,7.64,6.59,Low
40,Male,7.26,Good,Moderate,7.81,8.92,Medium
34,Female,7.51,Good,Moderate,7.67,7.36,Low
43,Female,5.54,Average,High,11.91,9.04,Medium
25,Male,7.75,Good,Moderate,6.5,8.16,Low
46,Female,5.86,Average,Moderate,8.93,8.04,Low
43,Male,6.3,Average,High,9.48,9.65,High
27,Male,5.98,Good,Moderate,8.6,8.13,Low
43,Male,5.14,Average,Moderate,9.25,10.0,Medium
51,Male,8.38,Good,Low,5.92,5.83,Medium
58,Male,6.56,Good,Low,8.72,5.09,Low
24,Female,7.8,Good,Moderate,6.99,6.55,Low
21,Female,7.75,Average,Moderate,8.07,8.05,Medium
28,Male,5.34,Poor,High,10.09,9.75,Medium
46,Female,7.96,Good,Moderate,4.0,6.01,Low
53,Male,7.1,Average,Low,5.8,5.19,Low
42,Female,5.25,Average,Low,9.15,10.0,High
38,Female,7.04,Good,High,9.14,9.85,Medium
53,Female,5.27,Average,Moderate,8.95,8.46,High
27,Female,8.43,Good,Moderate,7.02,5.87,Low
54,Male,7.48,Average,Low,8.24,10.0,High
26,Female,6.41,Good,Moderate,9.24,9.56,High
41,Female,8.02,Good,High,6.32,5.69,Low
52,Female,4.6,Average,High,9.02,10.0,High
52,Female,5.6,Average,Moderate,7.83,7.81,High
53,Female,6.2,Average,Low,12.0,10.0,High
35,Female,9.0,Good,High,6.55,5.32,Low
56,Female,5.22,Poor,Moderate,11.99,10.0,High
49,Female,4.45,Average,Moderate,9.55,10.0,High
41,Male,4.77,Good,High,11.73,9.21,High
40,Male,7.59,Good,Low,6.84,6.41,Low
49,Male,5.79,Average,High,9.18,4.32,Medium
54,Female,6.31,Average,Moderate,8.35,8.46,High
29,Male,7.42,Good,High,6.52,8.3,Low
30,Male,6.31,Average,Low,7.65,5.97,Low
40,Male,6.74,Average,Moderate,8.21,8.42,Medium
42,Female,7.14,Average,Moderate,7.16,6.2,Low
52,Male,5.98,Average,Low,9.17,6.16,Medium
58,Male,6.3,Average,Moderate,7.69,6.9,Low
47,Male,6.79,Average,Moderate,9.06,7.48,Medium
34,Male,7.54,Good,High,6.91,7.03,Low
37,Male,5.55,Poor,Low,11.41,9.53,High
42,Male,4.0,Poor,Moderate,10.94,10.0,High
39,Male,7.32,Average,High,7.56,6.46,Low
30,Female,7.61,Good,High,9.31,8.32,Low
36,Male,6.74,Average,Low,7.67,7.73,Medium
53,Male,6.82,Good,High,7.69,7.31,Low
29,Female,5.82,Good,Moderate,8.34,7.03,Medium
58,Female,7.1,Good,Moderate,8.15,7.78,Low
36,Female,7.52,Good,High,6.6,7.41,Low
29,Female,6.57,Average,Moderate,9.36,9.9,High
26,Female,9.0,Good,Low,5.94,2.98,Low
